STDR_YYQU_CD,SIGNGU_CD,SIGNGU_CD_NM,TOT_FLPOP_CO,ML_FLPOP_CO,FML_FLPOP_CO,AGRDE_10_FLPOP_CO,AGRDE_20_FLPOP_CO,AGRDE_30_FLPOP_CO,AGRDE_40_FLPOP_CO,AGRDE_50_FLPOP_CO,AGRDE_60_ABOVE_FLPOP_CO,TMZON_00_06_FLPOP_CO,TMZON_06_11_FLPOP_CO,TMZON_11_14_FLPOP_CO,TMZON_14_17_FLPOP_CO,TMZON_17_21_FLPOP_CO,TMZON_21_24_FLPOP_CO,MON_FLPOP_CO,TUES_FLPOP_CO,WED_FLPOP_CO,THUR_FLPOP_CO,FRI_FLPOP_CO,SAT_FLPOP_CO,SUN_FLPOP_CO
20222,11470,양천구,79748002,37319370,42428633,16902095,9153817,11042759,13389275,11947974,17312080,22511180,16345622,8697778,8685171,12816060,10692191,11390869,11292890,11258365,11234914,11216662,11552943,11801360
20222,11500,강서구,114409176,53777002,60632174,18388464,15802849,20876285,18695810,15318541,25327227,31556268,23735425,12844059,12664365,18306704,15302355,16418169,16281562,16247420,16200518,16140544,16383281,16737681
20222,11530,구로구,79076688,38200783,40875904,11256850,9993878,13194748,13340483,12569030,18721701,21380392,16225518,9033961,9053847,12991615,10391354,11383724,11289767,11254103,11221256,11152628,11159314,11615895
20222,11545,금천구,38465498,18970291,19495206,4292707,5785965,6857783,6118961,6427547,8982533,10494258,7950355,4375143,4356097,6186343,5103300,5566691,5531010,5508834,5484796,5450810,5378940,5544418
20222,11560,영등포구,110057211,53784918,56272292,13491280,16384781,21453136,18519346,17074207,23134462,27582881,22819285,13649346,13706639,18462538,13836521,15839767,15876417,15810492,15749686,15791473,15425250,15564129
20222,11590,동작구,86511159,40758473,45752686,13080164,15696663,14381119,12887021,11554475,18911717,23733151,17965169,9627615,9545322,14066031,11573868,12396460,12335076,12307741,12249706,12204195,12418778,12599205
20222,11620,관악구,132961363,65417622,67543740,14483688,31112960,25059667,18923506,16646538,26735006,37286163,27369136,14347235,14251684,21620501,18086645,18876677,18683383,18749166,18702919,18624015,19414163,19911038
20222,11650,서초구,100273557,48435498,51838059,16780841,14312059,18206516,19191745,13972547,17809848,22493111,21095637,13941258,13886790,17206326,11650436,14776308,15105849,14877293,14783734,14870898,13212752,12646725
20222,11680,강남구,146029635,71521124,74508512,22791666,24184124,30116443,28760968,18701628,21474807,29742844,30257982,21991878,22149253,25881816,16005865,21560580,22412891,22007767,21884143,21955940,18809032,17399283
20222,11710,송파구,126379573,59142345,67237229,21854961,16447595,22022962,21001685,18477197,26575176,34004245,26032185,14559469,14532641,20756095,16494939,18124155,18025855,17992042,17955165,17975895,18082821,18223642
20222,11740,강동구,109430592,50978634,58451958,18397520,13106994,16942099,17751129,16586399,26646450,30276779,22586636,12293610,12213236,17573334,14486995,15674451,15538155,15521818,15467961,15430258,15699459,16098493
20223,11110,종로구,67884630,32832819,35051811,7368556,12763874,10681738,10989427,11031685,15049351,13702648,13968821,10447711,10471948,11979919,7313583,9730720,10041194,10208570,10188810,10046715,9077252,8591368
20223,11140,중구,58602926,29153027,29449900,4872098,9967811,11713484,10664461,9536569,11848505,10782779,12488775,9652721,9534053,10199351,5945247,8600333,9085755,9185394,9161450,8859771,7089938,6620285
20223,11170,용산구,64632066,30907047,33725020,7881276,10534719,13037471,11226850,9123893,12827857,16614983,13520257,7924162,7876075,10555633,8140955,9187541,9251494,9292044,9265812,9268390,9172971,9193813
20223,11200,성동구,73895921,34924948,38970972,10062996,12824778,13353320,11912566,10739197,15003064,18072489,15367989,9261363,9401611,12628879,9163589,10596628,10750129,10769693,10753249,10662076,10228053,10136094
20223,11215,광진구,92114047,42890041,49224008,13345096,17773767,15456074,14042110,13341364,18155639,25659576,18829963,10107727,10106748,15004733,12405301,13165467,13125186,13083873,13053694,13039130,13250858,13395840
20223,11230,동대문구,104248006,49618547,54629460,13587235,20933300,15160490,15085653,14761989,24719337,26948125,21917777,12730909,12550710,16907064,13193420,14946790,15032956,15034655,14963333,14837825,14694279,14738168
20223,11260,중랑구,98199862,45994878,52204985,13482431,13026972,15123372,14699357,16452038,25415692,27353206,19984561,10818259,10824732,16000160,13218946,14033209,13853494,13807156,13772609,13795830,14302432,14635131
20223,11290,성북구,117868658,54128188,63740470,20511719,19911292,16312410,17764622,17148965,26219652,31541565,24159065,13486052,13587917,19556242,15537818,16851439,16832230,16823994,16761754,16651821,16822940,17124480
20223,11305,강북구,96872612,44758674,52113938,13574134,13422602,12317233,14473047,15758870,27326727,26433408,19737724,10969144,10972281,15843911,12916145,13830206,13700186,13661992,13629995,13685380,14062146,14302709
