STDR_YYQU_CD,SIGNGU_CD,SIGNGU_CD_NM,VIATR_FCLTY_CO,PBLOFC_CO,BANK_CO,GEHSPT_CO,GNRL_HSPTL_CO,PARMACY_CO,KNDRGR_CO,ELESCH_CO,MSKUL_CO,HGSCHL_CO,UNIV_CO,DRTS_CO,SUPMK_CO,THEAT_CO,STAYNG_FCLTY_CO,ARPRT_CO,RLROAD_STATN_CO,BUS_TRMINL_CO,SUBWAY_STATN_CO,BUS_STTN_CO
20211,11620,관악구,2255,62,40,2.0,8,208,16,22,14,14,180,,6.0,2,13.0,,,,4,582
20204,11620,관악구,2255,62,40,2.0,8,208,16,22,14,14,180,,6.0,2,13.0,,,,4,582
20224,11740,강동구,2063,63,56,3.0,15,225,25,24,15,14,6,,1.0,3,4.0,,,,15,405
20223,11740,강동구,2063,63,56,3.0,15,225,25,24,15,14,6,,1.0,3,4.0,,,,15,405
20222,11740,강동구,2063,63,56,3.0,15,225,25,24,15,14,6,,1.0,3,4.0,,,,15,405
20221,11740,강동구,2063,63,56,3.0,15,225,25,24,15,14,6,,1.0,3,4.0,,,,15,405
20214,11740,강동구,2063,63,56,3.0,15,225,25,24,15,14,6,,1.0,3,4.0,,,,15,405
20213,11740,강동구,2063,63,56,3.0,15,225,25,24,15,14,6,,1.0,3,4.0,,,,15,405
20212,11740,강동구,2063,63,56,3.0,15,225,25,24,15,14,6,,1.0,3,4.0,,,,15,405
20211,11740,강동구,2063,63,56,3.0,15,225,25,24,15,14,6,,1.0,3,4.0,,,,15,405
20204,11740,강동구,2063,63,56,3.0,15,225,25,24,15,14,6,,1.0,3,4.0,,,,15,405
20224,11320,도봉구,1432,58,27,1.0,8,116,20,23,12,10,20,,2.0,2,4.0,,,,8,481
20223,11320,도봉구,1432,58,27,1.0,8,116,20,23,12,10,20,,2.0,2,4.0,,,,8,481
20222,11320,도봉구,1432,58,27,1.0,8,116,20,23,12,10,20,,2.0,2,4.0,,,,8,481
20221,11320,도봉구,1432,58,27,1.0,8,116,20,23,12,10,20,,2.0,2,4.0,,,,8,481
20214,11320,도봉구,1432,58,27,1.0,8,116,20,23,12,10,20,,2.0,2,4.0,,,,8,481
20213,11320,도봉구,1432,58,27,1.0,8,116,20,23,12,10,20,,2.0,2,4.0,,,,8,481
20212,11320,도봉구,1432,58,27,1.0,8,116,20,23,12,10,20,,2.0,2,4.0,,,,8,481
20211,11320,도봉구,1432,58,27,1.0,8,116,20,23,12,10,20,,2.0,2,4.0,,,,8,481
20204,11320,도봉구,1432,58,27,1.0,8,116,20,23,12,10,20,,2.0,2,4.0,,,,8,481
20224,11290,성북구,2380,81,51,1.0,6,184,33,29,20,14,157,,3.0,2,4.0,,,,14,669
20223,11290,성북구,2380,81,51,1.0,6,184,33,29,20,14,157,,3.0,2,4.0,,,,14,669
20222,11290,성북구,2380,81,51,1.0,6,184,33,29,20,14,157,,3.0,2,4.0,,,,14,669
20221,11290,성북구,2380,81,51,1.0,6,184,33,29,20,14,157,,3.0,2,4.0,,,,14,669
20214,11290,성북구,2380,81,51,1.0,6,184,33,29,20,14,157,,3.0,2,4.0,,,,14,669
20213,11290,성북구,2380,81,51,1.0,6,184,33,29,20,14,157,,3.0,2,4.0,,,,14,669
20212,11290,성북구,2380,81,51,1.0,6,184,33,29,20,14,157,,3.0,2,4.0,,,,14,669
20211,11290,성북구,2380,81,51,1.0,6,184,33,29,20,14,157,,3.0,2,4.0,,,,14,669
20204,11290,성북구,2380,81,51,1.0,6,184,33,29,20,14,157,,3.0,2,4.0,,,,14,669
20224,11350,노원구,2586,77,54,3.0,7,205,35,40,26,26,114,,2.0,5,5.0,,,,15,661
20223,11350,노원구,2586,77,54,3.0,7,205,35,40,26,26,114,,2.0,5,5.0,,,,15,661
20222,11350,노원구,2586,77,54,3.0,7,205,35,40,26,26,114,,2.0,5,5.0,,,,15,661
20221,11350,노원구,2586,77,54,3.0,7,205,35,40,26,26,114,,2.0,5,5.0,,,,15,661
20214,11350,노원구,2586,77,54,3.0,7,205,35,40,26,26,114,,2.0,5,5.0,,,,15,661
20213,11350,노원구,2586,77,54,3.0,7,205,35,40,26,26,114,,2.0,5,5.0,,,,15,661
20212,11350,노원구,2586,77,54,3.0,7,205,35,40,26,26,114,,2.0,5,5.0,,,,15,661
20211,11350,노원구,2586,77,54,3.0,7,205,35,40,26,26,114,,2.0,5,5.0,,,,15,661
20204,11350,노원구,2586,77,54,3.0,7,205,35,40,26,26,114,,2.0,5,5.0,,,,15,661
20224,11500,강서구,2714,76,66,3.0,15,247,39,35,20,23,19,,3.0,5,3.0,25.0,,,22,646
20223,11500,강서구,2714,76,66,3.0,15,247,39,35,20,23,19,,3.0,5,3.0,25.0,,,22,646
20222,11500,강서구,2714,76,66,3.0,15,247,39,35,20,23,19,,3.0,5,3.0,25.0,,,22,646
20221,11500,강서구,2714,76,66,3.0,15,247,39,35,20,23,19,,3.0,5,3.0,25.0,,,22,646
20214,11500,강서구,2714,76,66,3.0,15,247,39,35,20,23,19,,3.0,5,3.0,25.0,,,22,646
20213,11500,강서구,2714,76,66,3.0,15,247,39,35,20,23,19,,3.0,5,3.0,25.0,,,22,646
20212,11500,강서구,2714,76,66,3.0,15,247,39,35,20,23,19,,3.0,5,3.0,25.0,,,22,646
20211,11500,강서구,2714,76,66,3.0,15,247,39,35,20,23,19,,3.0,5,3.0,25.0,,,22,646
20204,11500,강서구,2714,76,66,3.0,15,247,39,35,20,23,19,,3.0,5,3.0,25.0,,,22,646
20224,11530,구로구,2192,65,62,2.0,7,169,26,25,13,14,29,1.0,26.0,6,68.0,,,,13,624
20223,11530,구로구,2192,65,62,2.0,7,169,26,25,13,14,29,1.0,26.0,6,68.0,,,,13,624
20222,11530,구로구,2192,65,62,2.0,7,169,26,25,13,14,29,1.0,26.0,6,68.0,,,,13,624
20221,11530,구로구,2192,65,62,2.0,7,169,26,25,13,14,29,1.0,26.0,6,68.0,,,,13,624
20214,11530,구로구,2192,65,62,2.0,7,169,26,25,13,14,29,1.0,26.0,6,68.0,,,,13,624
20213,11530,구로구,2192,65,62,2.0,7,169,26,25,13,14,29,1.0,26.0,6,68.0,,,,13,624
20212,11530,구로구,2192,65,62,2.0,7,169,26,25,13,14,29,1.0,26.0,6,68.0,,,,13,624
20211,11530,구로구,2192,65,62,2.0,7,169,26,25,13,14,29,1.0,26.0,6,68.0,,,,13,624
20204,11530,구로구,2192,65,62,2.0,7,169,26,25,13,14,29,1.0,26.0,6,68.0,,,,13,624
20224,11560,영등포구,2400,97,137,7.0,8,248,20,24,11,9,4,,4.0,3,54.0,,,,20,572
20223,11560,영등포구,2400,97,137,7.0,8,248,20,24,11,9,4,,4.0,3,54.0,,,,20,572
20222,11560,영등포구,2400,97,137,7.0,8,248,20,24,11,9,4,,4.0,3,54.0,,,,20,572
20221,11560,영등포구,2400,97,137,7.0,8,248,20,24,11,9,4,,4.0,3,54.0,,,,20,572
20214,11560,영등포구,2400,97,137,7.0,8,248,20,24,11,9,4,,4.0,3,54.0,,,,20,572
20213,11560,영등포구,2400,97,137,7.0,8,248,20,24,11,9,4,,4.0,3,54.0,,,,20,572
20212,11560,영등포구,2400,97,137,7.0,8,248,20,24,11,9,4,,4.0,3,54.0,,,,20,572
20211,11560,영등포구,2400,97,137,7.0,8,248,20,24,11,9,4,,4.0,3,54.0,,,,20,572
20204,11560,영등포구,2400,97,137,7.0,8,248,20,24,11,9,4,,4.0,3,54.0,,,,20,572
20224,11140,중구,2071,89,151,2.0,3,159,4,12,9,13,29,1.0,7.0,15,48.0,,,,27,236
20223,11140,중구,2071,89,151,2.0,3,159,4,12,9,13,29,1.0,7.0,15,48.0,,,,27,236
20222,11140,중구,2071,89,151,2.0,3,159,4,12,9,13,29,1.0,7.0,15,48.0,,,,27,236
20221,11140,중구,2071,89,151,2.0,3,159,4,12,9,13,29,1.0,7.0,15,48.0,,,,27,236
20214,11140,중구,2071,89,151,2.0,3,159,4,12,9,13,29,1.0,7.0,15,48.0,,,,27,236
20213,11140,중구,2071,89,151,2.0,3,159,4,12,9,13,29,1.0,7.0,15,48.0,,,,27,236
20212,11140,중구,2071,89,151,2.0,3,159,4,12,9,13,29,1.0,7.0,15,48.0,,,,27,236
20211,11140,중구,2071,89,151,2.0,3,159,4,12,9,13,29,1.0,7.0,15,48.0,,,,27,236
20204,11140,중구,2071,89,151,2.0,3,159,4,12,9,13,29,1.0,7.0,15,48.0,,,,27,236
20224,11230,동대문구,1987,62,50,4.0,14,198,23,21,14,12,80,,7.0,2,28.0,,,,15,378
20223,11230,동대문구,1987,62,50,4.0,14,198,23,21,14,12,80,,7.0,2,28.0,,,,15,378
20222,11230,동대문구,1987,62,50,4.0,14,198,23,21,14,12,80,,7.0,2,28.0,,,,15,378
20221,11230,동대문구,1987,62,50,4.0,14,198,23,21,14,12,80,,7.0,2,28.0,,,,15,378
20214,11230,동대문구,1987,62,50,4.0,14,198,23,21,14,12,80,,7.0,2,28.0,,,,15,378
20213,11230,동대문구,1987,62,50,4.0,14,198,23,21,14,12,80,,7.0,2,28.0,,,,15,378
20212,11230,동대문구,1987,62,50,4.0,14,198,23,21,14,12,80,,7.0,2,28.0,,,,15,378
20211,11230,동대문구,1987,62,50,4.0,14,198,23,21,14,12,80,,7.0,2,28.0,,,,15,378
20204,11230,동대문구,1987,62,50,4.0,14,198,23,21,14,12,80,,7.0,2,28.0,,,,15,378
20224,11260,중랑구,1840,54,30,3.0,12,175,16,24,12,10,8,,40.0,3,7.0,,,1.0,15,403
20223,11260,중랑구,1840,54,30,3.0,12,175,16,24,12,10,8,,40.0,3,7.0,,,1.0,15,403
20222,11260,중랑구,1840,54,30,3.0,12,175,16,24,12,10,8,,40.0,3,7.0,,,1.0,15,403
20221,11260,중랑구,1840,54,30,3.0,12,175,16,24,12,10,8,,40.0,3,7.0,,,1.0,15,403
20214,11260,중랑구,1840,54,30,3.0,12,175,16,24,12,10,8,,40.0,3,7.0,,,1.0,15,403
20213,11260,중랑구,1840,54,30,3.0,12,175,16,24,12,10,8,,40.0,3,7.0,,,1.0,15,403
20212,11260,중랑구,1840,54,30,3.0,12,175,16,24,12,10,8,,40.0,3,7.0,,,1.0,15,403
20211,11260,중랑구,1840,54,30,3.0,12,175,16,24,12,10,8,,40.0,3,7.0,,,1.0,15,403
20204,11260,중랑구,1840,54,30,3.0,12,175,16,24,12,10,8,,40.0,3,7.0,,,1.0,15,403
20224,11380,은평구,2144,68,38,1.0,11,206,31,30,15,18,5,,10.0,4,,,,,13,590
20223,11380,은평구,2144,68,38,1.0,11,206,31,30,15,18,5,,10.0,4,,,,,13,590
20222,11380,은평구,2144,68,38,1.0,11,206,31,30,15,18,5,,10.0,4,,,,,13,590
20221,11380,은평구,2144,68,38,1.0,11,206,31,30,15,18,5,,10.0,4,,,,,13,590
20214,11380,은평구,2144,68,38,1.0,11,206,31,30,15,18,5,,10.0,4,,,,,13,590
