STDR_YYQU_CD,SIGNGU_CD,SIGNGU_CD_NM,VIATR_FCLTY_CO,PBLOFC_CO,BANK_CO,GEHSPT_CO,GNRL_HSPTL_CO,PARMACY_CO,KNDRGR_CO,ELESCH_CO,MSKUL_CO,HGSCHL_CO,UNIV_CO,DRTS_CO,SUPMK_CO,THEAT_CO,STAYNG_FCLTY_CO,ARPRT_CO,RLROAD_STATN_CO,BUS_TRMINL_CO,SUBWAY_STATN_CO,BUS_STTN_CO
20213,11590,동작구,1934,63,47,2.0,5,188,23,21,17,8,45,,4.0,2,8.0,,,,17,497
20212,11590,동작구,1934,63,47,2.0,5,188,23,21,17,8,45,,4.0,2,8.0,,,,17,497
20211,11590,동작구,1934,63,47,2.0,5,188,23,21,17,8,45,,4.0,2,8.0,,,,17,497
20204,11590,동작구,1934,63,47,2.0,5,188,23,21,17,8,45,,4.0,2,8.0,,,,17,497
20224,11680,강남구,4084,112,292,4.0,33,427,28,33,22,23,9,5.0,2.0,18,1.0,,,,31,688
20223,11680,강남구,4084,112,292,4.0,33,427,28,33,22,23,9,5.0,2.0,18,1.0,,,,31,688
20222,11680,강남구,4084,112,292,4.0,33,427,28,33,22,23,9,5.0,2.0,18,1.0,,,,31,688
20221,11680,강남구,4084,112,292,4.0,33,427,28,33,22,23,9,5.0,2.0,18,1.0,,,,31,688
20214,11680,강남구,4084,112,292,4.0,33,427,28,33,22,23,9,5.0,2.0,18,1.0,,,,31,688
20213,11680,강남구,4084,112,292,4.0,33,427,28,33,22,23,9,5.0,2.0,18,1.0,,,,31,688
20212,11680,강남구,4084,112,292,4.0,33,427,28,33,22,23,9,5.0,2.0,18,1.0,,,,31,688
20211,11680,강남구,4084,112,292,4.0,33,427,28,33,22,23,9,5.0,2.0,18,1.0,,,,31,688
20204,11680,강남구,4084,112,292,4.0,33,427,28,33,22,23,9,5.0,2.0,18,1.0,,,,31,688
20231,11380,은평구,2144,68,38,1.0,11,206,31,30,15,18,5,,10.0,4,,,,,13,590
20231,11545,금천구,1320,42,49,1.0,6,119,12,20,9,5,1,,1.0,2,24.0,,,,4,408
20231,11590,동작구,1934,63,47,2.0,5,188,23,21,17,8,45,,4.0,2,8.0,,,,17,497
20231,11680,강남구,4084,112,292,4.0,33,427,28,33,22,23,9,5.0,2.0,18,1.0,,,,31,688
20232,11545,금천구,1320,42,49,1.0,6,119,12,20,9,5,1,,1.0,2,24.0,,,,4,408
20232,11590,동작구,1934,63,47,2.0,5,188,23,21,17,8,45,,4.0,2,8.0,,,,17,497
20232,11680,강남구,4084,112,292,4.0,33,427,28,33,22,23,9,5.0,2.0,18,1.0,,,,31,688
