STDR_YYQU_CD,SIGNGU_CD,SIGNGU_CD_NM,MT_AVRG_INCOME_AMT,INCOME_SCTN_CD,EXPNDTR_TOTAMT,FDSTFFS_EXPNDTR_TOTAMT,CLTHS_FTWR_EXPNDTR_TOTAMT,LVSPL_EXPNDTR_TOTAMT,MCP_EXPNDTR_TOTAMT,TRNSPORT_EXPNDTR_TOTAMT,EDC_EXPNDTR_TOTAMT,PLESR_EXPNDTR_TOTAMT,LSR_CLTUR_EXPNDTR_TOTAMT,ETC_EXPNDTR_TOTAMT,FD_EXPNDTR_TOTAMT
20191,11305,강북구,2647046,6,47106636000,10299015000,1515479000,1695889000,6817616000,2412271000,1432802000,3304805000,3432384000,2516374000,13680001000
20191,11380,은평구,3008434,7,60383771000,14696058000,1547485000,1661939000,9352213000,3496534000,4053701000,2929485000,3747029000,2743963000,16155364000
20191,11440,마포구,3947573,8,410486330000,22463082000,6947346000,3070864000,12080059000,1849289000,8329360000,7886468000,295121481000,6668461000,46069920000
20191,11350,노원구,3327047,7,95248648000,27576360000,1625762000,1489038000,12222707000,2763210000,8278967000,3739533000,12381793000,4109629000,21061649000
20191,11530,구로구,3135990,7,553904586000,15468223000,1169257000,2114900000,35181146000,5781076000,3046696000,3248475000,467086595000,2972165000,17836053000
20191,11110,종로구,3821536,8,150579049000,10788836000,9422801000,1423845000,12989594000,3800714000,6938292000,3890186000,18017306000,48504586000,34802889000
20191,11545,금천구,2760087,6,118236694000,11047828000,20155833000,57883048000,6075426000,2759146000,1551588000,1872844000,4312535000,1575074000,11003372000
20191,11620,관악구,2937877,6,97235903000,24100984000,2217715000,1636016000,10973366000,2182309000,14241117000,5361326000,6327631000,4373289000,25822150000
20191,11140,중구,3607465,7,1774940943000,31667817000,9161538000,4089709000,10003662000,380863402000,14824964000,2367798000,1257966335000,39375423000,24620295000
20191,11320,도봉구,2910938,6,38589096000,11088050000,686253000,1142733000,4556863000,3458700000,2237871000,1597841000,2594166000,1610425000,9616194000
20191,11470,양천구,3939633,8,244212985000,20340863000,1430046000,1601894000,13074580000,4099683000,9946604000,2231297000,172242435000,3231789000,16013794000
20191,11200,성동구,3833236,8,60254554000,13508818000,2156687000,994529000,7058403000,5688554000,4353864000,2333434000,4112615000,3391088000,16656562000
20191,11260,중랑구,2701482,6,54397549000,16729025000,1202170000,1610451000,7216294000,2683639000,2982405000,2989841000,4419774000,2151401000,12412549000
20191,11560,영등포구,3757774,8,153556361000,19832817000,3897314000,2064047000,13143445000,12766244000,3563115000,4735602000,24112293000,36195797000,33245687000
20191,11680,강남구,5126808,9,1711415004000,35499680000,21985913000,13243766000,102628048000,32600818000,28804529000,14081995000,857477717000,529826857000,75265681000
20191,11740,강동구,3387538,7,157294759000,15370938000,2107091000,1693041000,12954255000,2640628000,4719067000,3532185000,92891107000,3012535000,18373912000
20192,11230,동대문구,3103926,7,75964039000,17655248000,5307994000,1775255000,17080540000,5326510000,2197689000,2649510000,3596108000,2082091000,18293094000
