자치구,행정동코드,행정동,Unnamed: 3,Unnamed: 4
노원구,11350700.0,상계8동,,
노원구,11350710.0,상계9동,,
노원구,11350560.0,월계1동,,
노원구,11350570.0,월계2동,,
노원구,11350580.0,월계3동,,
노원구,11350621.0,중계1동,,
노원구,11350625.0,중계2.3동,,
노원구,11350624.0,중계4동,,
노원구,11350624.0,중계4동,,
노원구,11350619.0,중계본동,,
노원구,11350611.0,하계1동,,
노원구,11350612.0,하계2동,,
도봉구,11320521.0,도봉제1동,,
도봉구,11320522.0,도봉제2동,,
도봉구,11320690.0,방학제1동,,
도봉구,11320700.0,방학제2동,,
도봉구,11320710.0,방학제3동,,
도봉구,11320660.0,쌍문제1동,,
도봉구,11320670.0,쌍문제2동,,
도봉구,11320680.0,쌍문제3동,,
도봉구,11320681.0,쌍문제4동,,
도봉구,11320511.0,창제1동,,
도봉구,11320512.0,창제2동,,
도봉구,11320513.0,창제3동,,
도봉구,11320514.0,창제4동,,
도봉구,11320515.0,창제5동,,
동대문구,11230600.0,답십리제1동,,
동대문구,11230610.0,답십리제2동,,
동대문구,11230536.0,용신동,,
동대문구,11230536.0,용신동,,
동대문구,11230740.0,이문제1동,,
동대문구,11230750.0,이문제2동,,
동대문구,11230650.0,장안제1동,,
동대문구,11230660.0,장안제2동,,
동대문구,11230560.0,전농제1동,,
동대문구,11230570.0,전농제2동,,
동대문구,11230545.0,제기동,,
동대문구,11230705.0,청량리동,,
동대문구,11230710.0,회기동,,
동대문구,11230720.0,휘경제1동,,
동대문구,11230730.0,휘경제2동,,
동작구,11590510.0,노량진제1동,,
동작구,11590510.0,노량진제1동,,
동작구,11590520.0,노량진제2동,,
동작구,11590660.0,대방동,,
동작구,11590620.0,사당제1동,,
동작구,11590630.0,사당제2동,,
동작구,11590630.0,사당제2동,,
동작구,11590640.0,사당제3동,,
동작구,11590650.0,사당제4동,,
동작구,11590651.0,사당제5동,,
동작구,11590530.0,상도제1동,,
동작구,11590530.0,상도제1동,,
동작구,11590540.0,상도제2동,,
동작구,11590550.0,상도제3동,,
동작구,11590560.0,상도제4동,,
동작구,11590670.0,신대방제1동,,
동작구,11590680.0,신대방제2동,,
동작구,11590605.0,흑석동,,
마포구,11440565.0,공덕동,,
마포구,11440565.0,공덕동,,
마포구,11440565.0,공덕동,,
마포구,11440565.0,공덕동,,
마포구,11440600.0,대흥동,,
마포구,11440600.0,대흥동,,
마포구,11440600.0,대흥동,,
마포구,11440585.0,도화동,,
마포구,11440585.0,도화동,,
마포구,11440690.0,망원제1동,,
마포구,11440700.0,망원제2동,,
마포구,11440740.0,상암동,,
마포구,11440655.0,서강동,,
마포구,11440655.0,서강동,,
마포구,11440655.0,서강동,,
마포구,11440655.0,서강동,,
마포구,11440655.0,서강동,,
마포구,11440660.0,서교동,,
