STDR_YYQU_CD,ADSTRD_CD,ADSTRD_CD_NM,TRDAR_CHNGE_IX,TRDAR_CHNGE_IX_NM,OPR_SALE_MT_AVRG,CLS_SALE_MT_AVRG,SU_OPR_SALE_MT_AVRG,SU_CLS_SALE_MT_AVRG
20191,11410690,남가좌1동,HH,정체,105,58,93,48
20191,11410700,남가좌2동,LL,다이나믹,91,47,93,48
20191,11410620,홍제1동,HH,정체,102,50,93,48
20191,11410655,홍제2동,HH,정체,100,54,93,48
20191,11440585,도화동,LH,상권확장,91,50,93,48
20191,11440610,염리동,LL,다이나믹,87,47,93,48
20191,11470520,목2동,LH,상권확장,89,49,93,48
20191,11470540,목4동,LL,다이나믹,90,43,93,48
20191,11470550,목5동,LL,다이나믹,85,47,93,48
20191,11470570,신월2동,HL,상권축소,96,47,93,48
20191,11500603,가양1동,LL,다이나믹,43,45,93,48
20191,11500604,가양2동,LL,다이나믹,88,48,93,48
20191,11530730,고척2동,HL,상권축소,95,47,93,48
20191,11530510,신도림동,LL,다이나믹,80,46,93,48
20191,11530780,오류2동,LL,다이나믹,76,46,93,48
20191,11545620,독산2동,LL,다이나믹,93,45,93,48
20191,11545670,시흥1동,HH,정체,96,49,93,48
20191,11560540,여의동,HH,정체,107,49,93,48
20191,11590660,대방동,HH,정체,94,49,93,48
20191,11590620,사당1동,LL,다이나믹,88,46,93,48
20191,11590540,상도2동,HH,정체,99,50,93,48
20191,11590550,상도3동,HL,상권축소,93,45,93,48
20191,11650550,반포본동,HH,정체,118,51,93,48
20191,11650610,방배2동,LH,상권확장,86,51,93,48
20191,11650652,양재2동,HL,상권축소,108,47,93,48
20191,11680565,청담동,LL,다이나믹,86,48,93,48
20191,11710562,방이2동,LL,다이나믹,87,46,93,48
20191,11710520,풍납2동,HH,정체,102,49,93,48
20191,11740550,고덕1동,LL,다이나믹,72,44,93,48
20191,11740660,성내3동,HL,상권축소,95,44,93,48
20192,11110540,삼청동,LH,상권확장,83,52,93,49
20192,11110700,숭인1동,HH,정체,98,55,93,49
20192,11110630,종로5?6가동,HH,정체,119,62,93,49
20192,11140635,약수동,LH,상권확장,90,52,93,49
20192,11170700,보광동,HL,상권축소,95,48,93,49
20192,11170690,서빙고동,HH,정체,100,56,93,49
20192,11170660,이태원2동,LL,다이나믹,71,44,93,49
20192,11200540,마장동,HH,정체,106,56,93,49
